name,compiler,type,threads,input,mpxerrors,dtlb_loads,branch_misses,dtlb_load_misses,time,sgxmem,num_clients,cycles,tput,major_faults,sgxtime,branch_instructions,dtlb_store_misses,minor_faults,dtlb_stores,mpxbtnum,lat,instructions
bin/memcached,gcc,native,1,32,,14396601799,43053909,28112725,22.319700471,,32,56713207549,168312.0,0,,9195086844,6490933,17027,8076229749,,189.0,48314190718
bin/memcached,gcc,native,1,64,,21598288908,67007339,26299890,22.350960868,,64,85800284949,258546.0,0,,13788330204,9458275,17115,12218086587,,247.0,72458591571
bin/memcached,gcc,native,1,128,,25074921758,68724037,32160516,22.447922479,,128,96619321198,280440.0,0,,15980186302,8890698,17290,14108253498,,455.0,84288386567
bin/memcached,gcc,native,1,192,,25861054603,68105964,38429922,22.523637098,,192,100422140197,281168.0,0,,16417748497,10527583,17468,14595190092,,682.0,86741138450
bin/memcached,gcc,native,1,256,,26349680311,74647532,38672084,22.598218597,,256,102306108745,281197.0,0,,16826630883,11491667,17648,14783386254,,909.0,88884813018
bin/memcached,gcc,native,1,320,,26426933696,74113588,47252036,22.6795994,,320,103033237009,281384.0,0,,16765650161,13326119,17811,14892013305,,1136.0,88839866900
bin/memcached,gcc,native,1,384,,26878722642,74907747,45005760,22.729949677,,384,103644941472,281306.0,0,,16984670887,13777811,17992,15068775936,,1364.0,89678510874
bin/memcached,gcc,native,1,448,,27454234743,77719984,46578196,22.786295468,,448,107794511204,281051.0,0,,17409695050,14057684,18174,15403917831,,1593.0,92134667511
bin/memcached,gcc,native,1,512,,27259425207,75065478,49124629,22.869115216,,512,107132608449,281261.0,0,,17350075964,14650277,18356,15276132653,,1819.0,91928618773
bin/memcached,gcc,mpx_no_narrow_bounds,1,32,,16072577008,75464797,36336216,22.317034617,,32,82932196649,160417.0,0,,10195312754,12834163,82844,8768649293,,198.0,56066936024
bin/memcached,gcc,mpx_no_narrow_bounds,1,64,,23116741512,100913066,42366859,22.36729544,,64,117136694000,240083.0,0,,14577413402,16862280,83721,12925225453,,266.0,80965908921
bin/memcached,gcc,mpx_no_narrow_bounds,1,128,,27160474818,117021049,53306829,22.451880806,,128,134177689661,259907.0,0,,16826080340,21704455,83988,15020153362,,491.0,93085468515
bin/memcached,gcc,mpx_no_narrow_bounds,1,192,,27454408811,110048648,57957179,22.525939482,,192,129696140626,257554.0,0,,17160319553,22551922,84226,15244879999,,744.0,95069257309
bin/memcached,gcc,mpx_no_narrow_bounds,1,256,,28679387940,129167139,64253686,22.58905956,,256,140977597978,262102.0,0,,17850815930,30645352,84639,15991323760,,976.0,98798677891
bin/memcached,gcc,mpx_no_narrow_bounds,1,320,,29015469395,121798084,66347062,22.65950422,,320,141348157525,262930.0,0,,17959011987,27279152,85063,16135929499,,1216.0,99811973553
bin/memcached,gcc,mpx_no_narrow_bounds,1,384,,29785621392,119099406,70553889,22.738270325,,384,144990742983,264426.0,0,,18453470388,29727494,85559,16473865619,,1451.0,102316259338
bin/memcached,gcc,mpx_no_narrow_bounds,1,448,,30071969234,114377409,69656707,22.775719831,,448,143534932063,269567.0,0,,18545210056,29476588,86078,17007547070,,1661.0,103392202999
bin/memcached,gcc,mpx_no_narrow_bounds,1,512,,29499583384,129309735,74315773,22.85095421,,512,146921430501,264698.0,0,,18309153468,33652461,86658,16477488687,,1933.0,101686457311
bin/memcached,gcc,asan,1,32,,17031313856,54779810,47150263,22.314898201,,32,70368930972,169066.0,0,,12847177234,7833554,22793,9268127867,,188.0,65093652205
bin/memcached,gcc,asan,1,64,,25581917469,78033226,48560965,22.37085899,,64,105796439381,257355.0,0,,19269996461,9321309,23260,13972756832,,248.0,97413632541
bin/memcached,gcc,asan,1,128,,30302066568,93934099,58476538,22.4234321,,128,121868822354,279817.0,0,,22362110029,14311112,23251,16435937366,,456.0,113608570091
bin/memcached,gcc,asan,1,192,,30793596115,90561312,68557227,22.502846626,,192,123859380692,280460.0,0,,22651850855,13707576,23952,16778155152,,684.0,115236522127
bin/memcached,gcc,asan,1,256,,31782067524,104891791,75925970,22.61921069,,256,129624910841,281093.0,0,,23286333682,12972539,24302,17295867706,,910.0,118756831018
bin/memcached,gcc,asan,1,320,,32170708855,99349776,81604693,22.659850909,,320,129301519511,281225.0,0,,23496145496,18560637,24870,17475740584,,1137.0,119581358164
bin/memcached,gcc,asan,1,384,,32222346904,97100619,78222401,22.735554452,,384,129094916542,281175.0,0,,23555263935,17199216,25363,17484603100,,1365.0,119788548920
bin/memcached,gcc,asan,1,448,,32579093828,97316424,72583820,22.763423466,,448,130945288272,280938.0,0,,23721393001,17152026,25636,17765511144,,1594.0,120904940117
bin/memcached,gcc,asan,1,512,,32482441976,98751787,84349385,22.878791885,,512,133051115238,280862.0,0,,23684288862,20745543,26486,17700364945,,1822.0,120956086911
