name,compiler,type,threads,input,mpxerrors,dtlb_stores,lat,dtlb_store_misses,mpxbtnum,failed_requests,major_faults,dtlb_loads,branch_misses,branch_instructions,num_clients,sgxtime,dtlb_load_misses,cycles,tput,complete_requests,minor_faults,sgxmem,instructions,time
nginx,gcc,native,1,1,,1242166417,0.251,234628,,0,0,2303191838,10570859,1573419240,1,,3134935,7545888096,3988.26,79766,1912,,7406249248,21.237505784
nginx,gcc,native,1,5,,7959482588,0.194,510715,,0,0,14538207786,48478800,10090927013,5,,5241029,50495399109,25830.48,516610,1942,,48312509706,21.475854712
nginx,gcc,native,1,9,,13851674257,0.207,315510,,0,0,25125429808,83449136,17295312913,9,,2770934,94544230299,43541.62,870834,1969,,83104012450,21.680624491
nginx,gcc,native,1,13,,15297719350,0.282,826015,,0,0,27765955175,104283858,19079837059,13,,7045441,106950502786,46087.82,921758,1969,,92119411017,21.702153389
nginx,gcc,native,1,17,,15185848174,0.369,1169161,,0,0,27622562021,105396049,18980713263,17,,9221152,106894394838,46129.57,922592,1956,,91287351669,21.696524757
nginx,gcc,native,1,21,,15459640423,0.456,2031617,,0,0,28136596530,107832982,19218930381,21,,16381188,112740375552,46055.7,921114,1970,,92599277795,21.699076685
nginx,gcc,native,1,25,,15569237014,0.542,2778972,,0,0,28263912124,114273178,19326489583,25,,22439648,114367659241,46111.23,922226,1979,,93241410673,21.701859581
nginx,gcc,native,1,29,,15581189089,0.629,3099461,,0,0,28359796306,114988926,19363241340,29,,25729832,114768592738,46099.19,921985,1965,,93268854337,21.712545372
nginx,gcc,mpx_no_narrow_bounds,1,1,,1348781095,0.264,644078,,0,0,2517235876,12417858,1590403047,1,,5387846,8775071164,3794.38,75888,4419,,8526249083,21.240205305
nginx,gcc,mpx_no_narrow_bounds,1,5,,8767338773,0.201,1049541,,0,0,16349427562,47295879,10205491890,5,,7595070,57536246089,24846.62,496933,4387,,55970700373,21.478977299
nginx,gcc,mpx_no_narrow_bounds,1,9,,16318393227,0.206,1163624,,0,0,30229145365,87686663,18766205931,9,,6773718,111837585317,43631.53,872632,4415,,102951794975,21.687587059
nginx,gcc,mpx_no_narrow_bounds,1,13,,18803972537,0.268,3947211,,0,0,34910924929,109298661,21611386738,13,,19611764,134798466047,48442.26,968848,4457,,118358114861,21.74944963
nginx,gcc,mpx_no_narrow_bounds,1,17,,19049110124,0.347,5184653,,0,0,35301904885,115795340,21872707043,17,,28048259,138334175911,48924.53,978492,4949,,119818021117,21.746492972
nginx,gcc,mpx_no_narrow_bounds,1,21,,19072834250,0.43,6521935,,0,0,35445192100,116823332,21926952104,21,,33515715,141914604835,48787.66,975754,4631,,119950255262,21.73771371
nginx,gcc,mpx_no_narrow_bounds,1,25,,19042228409,0.517,7314319,,0,0,35374931007,120508755,21907168473,25,,42040928,145847859063,48388.58,967773,4999,,119798764224,21.738984706
nginx,gcc,mpx_no_narrow_bounds,1,29,,19028460558,0.6,7723531,,0,0,35295163607,120978619,21849737327,29,,45468438,146066045368,48337.25,966747,4745,,119381856892,21.732317378
nginx,gcc,asan,1,1,,1451144608,0.284,1367910,,0,0,2685487811,18368188,1984863128,1,,5921350,10813510867,3523.67,70474,425337,,9741893392,21.266048749
nginx,gcc,asan,1,5,,8993535912,0.21,3979886,,0,0,16903089366,63658484,12887108794,5,,13949135,65872099495,23842.65,476853,1220869,,62187631771,21.508644793
nginx,gcc,asan,1,9,,16448865968,0.218,5177665,,0,0,30827350158,110534253,23269767383,9,,22287553,125194523830,41277.75,825555,1251330,,113092501465,21.70503697
nginx,gcc,asan,1,13,,19893467482,0.264,5336446,,0,0,37305473318,133221625,28070821411,13,,23405243,153915721949,49170.02,983402,1251276,,136546606829,21.808454626
nginx,gcc,asan,1,17,,21384035937,0.346,6591145,,0,0,39603293261,149434409,29558617394,17,,33484957,165146944497,49200.13,984004,1251192,,144494789646,23.594108453
nginx,gcc,asan,1,21,,20512145809,0.422,7065327,,0,0,38500983862,151151509,28754541151,21,,39718477,170663646654,49792.05,995842,1251363,,139887969892,21.818896936
nginx,gcc,asan,1,25,,20560073528,0.502,8060934,,0,0,38526083847,147664477,28757567528,25,,51635102,173204044557,49786.1,995723,1251657,,139913700651,21.808038192
nginx,gcc,asan,1,29,,20587921938,0.583,8566705,,0,0,38502621035,148882982,28782434222,29,,57412743,175380020290,49757.05,995142,1251690,,140126454545,21.811479282
