name,compiler,type,threads,input,mpxerrors,failed_requests,mpxbtnum,sys_time,user_time,time,complete_requests,voluntary_context_switches,major_faults,sgxtime,involuntary_context_switches,num_clients,maxsize,minor_faults,sgxmem,lat,tput
nginx,gcc,native,1,1,,0,,4.42,1.37,21.25,82742,83886,0,,79,1,4468,1925,,0.242,4137.08
nginx,gcc,native,1,5,,0,,12.26,3.34,21.49,531317,442176,0,,1307,5,4492,1981,,0.188,26565.81
nginx,gcc,native,1,9,,0,,25.22,5.55,21.7,902265,855406,0,,2620,9,4432,1977,,0.199,45113.25
nginx,gcc,native,1,13,,0,,27.98,6.11,21.71,937855,1020001,0,,3005,13,4472,1975,,0.277,46892.73
nginx,gcc,native,1,17,,0,,27.79,6.08,21.71,938005,1093833,0,,2960,17,4468,2011,,0.362,46900.17
nginx,gcc,native,1,21,,0,,28.9,6.44,21.72,939003,1182019,0,,3190,21,4484,1978,,0.447,46950.14
nginx,gcc,native,1,25,,0,,28.96,6.53,21.71,933052,1251173,0,,3135,25,4376,1995,,0.536,46652.58
nginx,gcc,native,1,29,,0,,30.0,6.45,21.71,939031,1298437,0,,3180,29,4480,2001,,0.618,46951.51
nginx,gcc,mpx_no_narrow_bounds,1,1,,0,,4.06,2.3,21.24,83610,84781,0,,77,1,20760,2595,,0.239,4180.49
nginx,gcc,mpx_no_narrow_bounds,1,5,,0,,12.63,5.08,21.47,514728,397775,0,,1435,5,18756,2801,,0.194,25736.32
nginx,gcc,mpx_no_narrow_bounds,1,9,,0,,24.81,9.8,21.67,870520,717451,0,,3029,9,19460,3878,,0.207,43525.93
nginx,gcc,mpx_no_narrow_bounds,1,13,,0,,28.44,10.64,21.7,914760,891140,0,,3550,13,19932,3751,,0.284,45737.93
nginx,gcc,mpx_no_narrow_bounds,1,17,,0,,28.16,10.3,21.7,910729,1013810,0,,3408,17,19632,2467,,0.373,45536.33
nginx,gcc,mpx_no_narrow_bounds,1,21,,0,,28.93,10.75,21.7,909544,1113469,0,,3558,21,19508,4797,,0.462,45477.11
nginx,gcc,mpx_no_narrow_bounds,1,25,,0,,29.72,11.4,21.7,916470,1153301,0,,3594,25,18616,4492,,0.546,45823.47
nginx,gcc,mpx_no_narrow_bounds,1,29,,0,,30.85,10.89,21.7,916249,1214650,0,,3618,29,16324,3108,,0.633,45812.45
nginx,gcc,asan,1,1,,0,,4.47,2.12,21.27,77213,78307,0,,95,1,263460,465482,,0.259,3860.65
nginx,gcc,asan,1,5,,0,,13.54,6.44,21.52,500473,378721,0,,1713,5,390112,1251487,,0.2,25023.61
nginx,gcc,asan,1,9,,0,,27.17,11.94,21.73,862830,674240,0,,3729,9,390268,1251524,,0.209,43141.42
nginx,gcc,asan,1,13,,0,,31.96,13.49,21.78,974930,845133,0,,4448,13,389332,1251320,,0.267,48746.48
nginx,gcc,asan,1,17,,0,,32.7,14.2,21.79,979572,1012188,0,,4497,17,389712,1251448,,0.347,48978.59
nginx,gcc,asan,1,21,,0,,34.73,13.87,21.79,972472,1138413,0,,4599,21,389892,1251566,,0.432,48623.6
nginx,gcc,asan,1,25,,0,,33.78,14.86,21.79,978809,1181516,0,,4651,25,389304,1251445,,0.511,48940.33
nginx,gcc,asan,1,29,,0,,34.83,14.19,21.79,980298,1233573,0,,4498,29,389416,1251450,,0.592,49014.76
