name,compiler,type,threads,input,mpxerrors,voluntary_context_switches,sys_time,major_faults,involuntary_context_switches,mpxbtnum,minor_faults,maxsize,time,user_time
vips,icc,mpx_only_write,1,native,,59,1.38,0,343,,422765,42144,63.82,61.29
vips,icc,mpx_only_write,1,native,,14,1.33,0,326,,422765,42144,63.06,61.3
vips,icc,mpx_only_write,1,native,,73,1.32,0,276,,422765,42144,63.56,61.26
vips,icc,mpx_only_write,1,native,,13,1.35,0,289,,421745,44264,62.92,61.28
vips,icc,mpx_only_write,1,native,,12,1.24,0,229,,421180,52156,62.7,61.34
vips,icc,mpx_only_write,1,native,,82,1.35,0,211,,421555,55736,62.91,61.25
vips,icc,mpx_only_write,1,native,,7,1.22,0,451,,421555,55736,62.85,61.36
vips,icc,mpx_only_write,1,native,,87,1.19,0,615,,421555,55736,62.69,61.41
vips,icc,mpx_only_write,1,native,,7,1.27,0,377,,421555,55736,62.58,61.29
vips,icc,mpx_only_write,1,native,,8,1.26,0,366,,421555,55736,62.98,61.28
vips,icc,mpx_no_narrow_bounds,1,native,,5,0.69,0,269,,26023,53296,84.6,83.89
vips,icc,mpx_no_narrow_bounds,1,native,,105,0.57,0,184,,25900,56888,84.5,83.82
vips,icc,mpx_no_narrow_bounds,1,native,,9,0.57,0,290,,26410,56248,84.35,83.76
vips,icc,mpx_no_narrow_bounds,1,native,,135,0.54,0,256,,25899,56248,84.56,83.9
vips,icc,mpx_no_narrow_bounds,1,native,,57,0.46,0,191,,25899,56248,84.47,83.96
vips,icc,mpx_no_narrow_bounds,1,native,,4,0.58,0,300,,26410,56248,84.37,83.77
vips,icc,mpx_no_narrow_bounds,1,native,,154,0.52,0,185,,25899,56248,84.56,83.9
vips,icc,mpx_no_narrow_bounds,1,native,,9,0.54,0,265,,25899,56248,84.37,83.82
vips,icc,mpx_no_narrow_bounds,1,native,,61,0.58,0,369,,26410,56248,84.44,83.81
vips,icc,mpx_no_narrow_bounds,1,native,,274,0.55,0,248,,25899,56248,84.62,83.89
vips,icc,mpx_no_narrow_bounds_only_write,1,native,,7,0.55,0,359,,27424,51764,61.22,60.65
vips,icc,mpx_no_narrow_bounds_only_write,1,native,,383,0.64,0,288,,27424,51764,61.86,60.73
vips,icc,mpx_no_narrow_bounds_only_write,1,native,,51,0.54,0,227,,27424,51764,61.37,60.67
vips,icc,mpx_no_narrow_bounds_only_write,1,native,,82,0.53,0,193,,27424,51764,61.36,60.7
vips,icc,mpx_no_narrow_bounds_only_write,1,native,,20,0.56,0,378,,27424,51764,61.72,60.72
vips,icc,mpx_no_narrow_bounds_only_write,1,native,,794,0.58,0,355,,27424,51764,62.97,60.68
vips,icc,mpx_no_narrow_bounds_only_write,1,native,,15,0.58,0,284,,27424,51764,61.62,60.67
vips,icc,mpx_no_narrow_bounds_only_write,1,native,,11,0.54,0,254,,27424,51764,61.47,60.68
vips,icc,mpx_no_narrow_bounds_only_write,1,native,,14,0.53,0,222,,27424,51764,61.35,60.71
vips,icc,mpx_no_narrow_bounds_only_write,1,native,,96,0.61,0,154,,26914,57036,61.5,60.67
