"name","compiler","type","PORT_0","PORT_1","PORT_2","PORT_3","PORT_4","PORT_5","PORT_6","PORT_7"
"ferret","gcc","native","16","13","15.2","15.3"," 3.526","14.8","22.5","1.854"
"dedup","gcc","native","10","12","17.9","18.0","14.135","12.3","17.6","7.096"
"raytrace","gcc","native","17","17","12.5","13.1"," 8.180","20.5"," 8.8","4.817"
"swaptions","gcc","native","14","14","13.8","14.4"," 6.791","16.0","20.3","3.095"
"bodytrack","gcc","native","23","24","10.2","10.8"," 5.504","13.3","14.5","2.984"
"blackscholes","gcc","native","17","17","11.5","11.8"," 5.727","19.5","15.0","3.201"
"fluidanimate","gcc","native","18","20","14.3","14.5"," 2.360","14.7","16.5","1.689"
"facesim","gcc","native","15","15","13.5","13.9","10.046","18.7","10.3","5.042"
"streamcluster","gcc","native","20","20","12.6","12.6"," 0.191","15.8","22.1","0.146"
"canneal","gcc","native","16","16","13.5","13.7"," 8.208","20.9","29.0","3.177"
"x264","gcc","native","13","15","14.8","14.9"," 8.818","15.4","16.2","3.886"
"vips","gcc","native","18","18","10.4","10.5"," 5.680","16.8","19.1","2.586"
"ferret","gcc","mpx","15","23","12.5","12.6"," 5.314","14.2","16.2","3.680"
"dedup","gcc","mpx","15","25","10.8","10.9"," 6.479","14.7","16.3","3.678"
"raytrace","gcc","mpx","14","28","10.1","10.7"," 7.158","13.6","14.4","4.787"
"swaptions","gcc","mpx","14","22","12.2","12.4"," 4.346","15.8","17.0","3.202"
"bodytrack","gcc","mpx","18","27","10.2","10.5"," 5.015","11.1","17.6","2.726"
"blackscholes","gcc","mpx","16","18","11.8","12.2"," 5.142","19.0","15.6","3.101"
"fluidanimate","gcc","mpx","15","22","13.1","13.6","12.009","12.7","13.6","6.766"
"facesim","gcc","mpx","16","24","11.5","11.7"," 5.648","13.6","15.5","3.696"
"streamcluster","gcc","mpx","15","21","17.1","17.1"," 0.224","14.6","15.1","0.153"
"canneal","gcc","mpx","16","24","12.4","12.6"," 8.177","16.1","21.2","4.107"
"x264","gcc","mpx","NA","NA","  NA","  NA","    NA","  NA","  NA","   NA"
"vips","gcc","mpx","18","26"," 7.3"," 7.6"," 3.576","16.5","18.6","2.146"
"ferret","icc","native","13","13","16.9","16.9"," 4.819","14.9","20.3","1.620"
"dedup","icc","native","11","11","18.5","18.5","14.255","11.3","18.4","6.448"
"raytrace","icc","native","19","18","12.9","13.4"," 6.204","19.0","16.2","3.564"
"swaptions","icc","native","14","15","16.3","16.6"," 7.766","12.4","16.8","3.302"
"bodytrack","icc","native","24","25","10.1","10.3"," 3.713","13.9","15.2","2.119"
"blackscholes","icc","native","16","17","13.3","13.9"," 8.258","16.0","12.5","4.588"
"fluidanimate","icc","native","17","18","14.7","14.7"," 2.047","14.0","18.7","0.716"
"facesim","icc","native","17","18","16.0","16.3","10.785"," 9.6","10.3","4.148"
"streamcluster","icc","native","26","26","15.2","15.3"," 0.542"," 9.5","16.8","0.033"
"canneal","icc","native","17","16","15.8","15.9"," 7.843","19.8","26.3","3.026"
"x264","icc","native","15","17","12.2","12.4"," 7.884","17.6","17.4","4.263"
"vips","icc","native","18","18","11.0","11.0"," 5.880","16.0","19.2","2.305"
"ferret","icc","mpx","NA","NA","  NA","  NA","    NA","  NA","  NA","   NA"
"dedup","icc","mpx","14","20","14.5","14.6"," 8.369","11.3","17.2","3.702"
"raytrace","icc","mpx","NA","NA","  NA","  NA","    NA","  NA","  NA","   NA"
"swaptions","icc","mpx","15","21","14.0","14.0"," 4.389","11.9","17.4","2.467"
"bodytrack","icc","mpx","21","25","10.1","10.3"," 4.261","13.1","17.5","2.438"
"blackscholes","icc","mpx","15","19","13.0","13.4"," 7.812","15.2","13.9","4.364"
"fluidanimate","icc","mpx","16","20","12.6","13.2"," 9.790","15.4","17.0","5.367"
"facesim","icc","mpx","18","21","13.5","13.8"," 9.584"," 9.9","14.1","4.059"
"streamcluster","icc","mpx","19","30","10.7","10.7"," 1.286"," 8.8","23.6","0.928"
"canneal","icc","mpx","15","19","15.1","15.3"," 9.778","16.3","22.3","4.595"
"x264","icc","mpx","NA","NA","  NA","  NA","    NA","  NA","  NA","   NA"
"vips","icc","mpx","NA","NA","  NA","  NA","    NA","  NA","  NA","   NA"
"ferret","gcc","asan","19","16","12.0","12.0"," 1.699","17.5","21.7","1.038"
"dedup","gcc","asan","17","16","12.2","12.4"," 6.404","15.1","19.9","3.550"
"raytrace","gcc","asan","17","17","11.5","11.9"," 6.202","19.0","16.6","3.671"
"swaptions","gcc","asan","17","16","12.5","12.6"," 4.654","15.6","19.8","3.561"
"bodytrack","gcc","asan","19","18","10.5","10.7"," 3.818","16.7","21.9","2.431"
"blackscholes","gcc","asan","16","17","10.9","11.4"," 6.175","19.1","17.1","3.317"
"fluidanimate","gcc","asan","18","20","11.2","11.3"," 1.104","18.2","20.2","0.674"
"facesim","gcc","asan","17","17","10.3","10.5"," 5.608","17.3","19.9","3.316"
"streamcluster","gcc","asan","20","17"," 9.6"," 9.6"," 0.079","21.4","23.1","0.065"
"canneal","gcc","asan","19","17","13.1","13.2"," 7.776","19.9","30.5","3.525"
"x264","gcc","asan","20","18","10.5","10.6"," 1.312","18.3","21.4","0.796"
"vips","gcc","asan","19","18"," 9.1"," 9.3"," 3.134","18.7","21.2","1.814"
