name,compiler,type,threads,input,PORT_4,PORT_0,mpxerrors,UOPS_EXECUTED.CORE,PORT_2,PORT_3,mpxbtnum,PORT_7,PORT_6,PORT_1,PORT_5
kmeans,gcc,native,1,None,790888549,34702817827,,181276936382,27068425246,27071553097,,381333950,41699814165,26092600108,24538506958
matrix_multiply,gcc,native,1,None,10434193478,14398146773,,93037138317,12487453577,12766392974,,2102886897,19562502713,17443535907,14762770929
histogram,gcc,native,1,None,2109369902,822440098,,8697431658,2029774769,2436530681,,24667982,1152393656,865116320,830940011
linear_regression,gcc,native,1,None,38566924,1233987942,,4140120842,58219556,70254868,,13230216,96397007,1251226342,1343817258
word_count,gcc,native,1,None,5310956629,4746707595,,35529803370,5237261035,5491571051,,1939187708,8561882006,4880310137,5510502534
string_match,gcc,native,1,None,4971703895,5783106780,,38607005313,3810544862,4173281145,,114288738,7994076488,5993400456,6700398656
pca,gcc,native,1,None,140405621,15382042093,,65482999681,3549581639,3570029610,,57005602,13737710506,15338833846,13733912260
kmeans,gcc,mpx,1,None,749344513,125924870034,,787143947694,60479336930,60516537261,,170730864,140599292206,218442831233,181941626226
matrix_multiply,gcc,mpx,1,None,11568803408,63982936899,,407155812044,48063716200,48251594498,,8852544140,68302634450,117291261092,48980721241
histogram,gcc,mpx,1,None,1469920127,4347888685,,29762907643,2460538919,2342220372,,25272497,4648883898,8952227846,5669987105
linear_regression,gcc,mpx,1,None,22252873,2176757188,,13719563328,827747198,829327165,,4334974,2475497279,5160030470,2168684444
word_count,gcc,mpx,1,None,18586264987,7034682394,,78921994382,14018182046,14557175946,,5688303869,11510163642,11643520334,8829827562
string_match,gcc,mpx,1,None,8811389977,8528538136,,68644085059,7083457845,7634428383,,3789966831,12468880255,12912096191,8716468576
pca,gcc,mpx,1,None,194214891,113348545145,,771730222816,101521533953,101531701210,,114685597,121780190862,202892890759,130526805483
kmeans,icc,native,1,None,483613411,42460563881,,215791711586,12693271074,12728952498,,164254533,57157933051,44690220811,46061050410
matrix_multiply,icc,native,1,None,13614470852,9171858845,,65774128385,10843872040,11114543067,,2074390258,15325637528,11471553719,9656418785
histogram,icc,native,1,None,2342889438,966750860,,8742481323,2291980441,2291625120,,17196973,1381441827,1006843583,1060385243
linear_regression,icc,native,1,None,9387111,1010301711,,4863051191,285150751,276184775,,9973413,1169163167,1134639768,1052115125
word_count,icc,native,1,None,4516264679,4133926351,,36259698840,6100329009,6218779337,,2841878756,6582610991,4355222740,5729632739
string_match,icc,native,1,None,7771557364,2821526492,,31765165288,5154772590,5159891623,,21481535,5610686438,2751079244,2885818236
pca,icc,native,1,None,116364065,14683948401,,58550381624,3518606949,3535883935,,54560453,6983068534,15144112756,14556683426
kmeans,icc,mpx,1,None,526063021,67445505196,,351078070147,21103045089,21112549528,,194517829,87781430385,86165512919,67916066342
matrix_multiply,icc,mpx,1,None,11013292601,14050837004,,106192879485,10830117658,10947711101,,2074274333,21387357151,26347477890,18700328203
histogram,icc,mpx,1,None,1651322314,2098996758,,16331190893,1987991501,2390295167,,18119027,2420245825,3804441589,2321438972
linear_regression,icc,mpx,1,None,19647442,1292708959,,5835618745,280197953,282873177,,8076182,1369710909,1358261320,1153550202
word_count,icc,mpx,1,None,50338379242,26281673829,,235092798505,36756679240,37229324911,,26892090124,29751152246,35922061848,32190500929
string_match,icc,mpx,1,None,11572470570,15431593479,,94731494125,10882095263,11207222108,,5620941202,16943801155,17712754213,13222555239
pca,icc,mpx,1,None,124541314,15684917718,,85990749232,3570816354,3579103310,,59084814,20537506241,26687199645,15760060855
kmeans,gcc,asan,1,None,770620679,98758172844,,494142902423,49853343604,49883694664,,260540366,111287330657,92304435484,93781556173
matrix_multiply,gcc,asan,1,None,7860863065,28648109043,,164514646776,16018754215,16212302961,,5514767089,33918644976,34715788608,30056347138
histogram,gcc,asan,1,None,1472481651,4688912922,,27227963832,3678113830,3470857116,,18921956,4935217168,4933454705,4144978132
linear_regression,gcc,asan,1,None,11683547,1400106901,,7123071305,561256982,550688905,,11358346,1518093954,1628088642,1508120843
word_count,gcc,asan,1,None,69081037740,30081684061,,375610394625,71850144112,68664611215,,3268262493,78589824060,32466845108,32156762665
string_match,gcc,asan,1,None,9163115439,11098848604,,75407487844,8612920637,8923692111,,3640927842,14927653725,9765341751,9798831997
pca,gcc,asan,1,None,138645204,54176633407,,285314259996,27214595420,27211160750,,63178395,64358643427,59024703318,53854580475
