name,compiler,type,threads,input,dtlb_loads,instructions,branch_instructions,major_faults,dtlb_stores,mpxerrors,dtlb_load_misses,minor_faults,dtlb_store_misses,mpxbtnum,cycles,branch_misses,time
string_match,gcc,native,1,test,264757262,2732662992,432956192,0,110233519,,10566,1021,18,,1583821912,7512721,0.420583166
histogram,gcc,native,1,test,190510622,403436010,39296555,0,109246533,,6807,1738,72,,209549069,47568,0.056189581
word_count,gcc,native,1,test,460777973,2012774331,335616787,0,319561002,,227565,3280,8807,,1894164848,18751332,0.500661819
kmeans,gcc,native,1,test,1883821,7237032,1309925,0,0,,0,145,0,,4999892,32133,0.001676247
matrix_multiply,gcc,native,1,test,2349751,8719709,1589977,0,0,,0,145,0,,6134784,31686,0.001943636
pca,gcc,native,1,test,1847980,7110624,1261561,0,0,,0,146,0,,4977179,30830,0.00167858
linear_regression,gcc,native,1,test,12706303,427014057,6008280,0,2562287,,4276,1022,45,,227412416,59068,0.061042783
string_match,gcc,mpx_no_narrow_bounds_only_write,1,test,671799776,4211075459,899157571,0,789016401,,10099,1039,52,,1677731177,7491085,0.443148616
histogram,gcc,mpx_no_narrow_bounds_only_write,1,test,244283180,912818932,37804526,0,108577899,,7471,1754,55,,313899037,62500,0.083563878
word_count,gcc,mpx_no_narrow_bounds_only_write,1,test,1590231984,5339780087,612696612,0,1392507703,,240139,3662,9292,,4946742636,19122360,1.30749442
kmeans,gcc,mpx_no_narrow_bounds_only_write,1,test,2271936,8479274,1539063,0,0,,0,165,0,,6064683,44345,0.002053243
matrix_multiply,gcc,mpx_no_narrow_bounds_only_write,1,test,2757407,10022415,1830710,0,0,,0,162,0,,7619768,42825,0.002285236
pca,gcc,mpx_no_narrow_bounds_only_write,1,test,2229392,8320488,1486736,0,0,,0,163,0,,6000202,43159,0.001879949
linear_regression,gcc,mpx_no_narrow_bounds_only_write,1,test,12825663,427754094,6399978,0,2463859,,4225,1037,55,,230045541,78346,0.061284993
string_match,gcc,mpx_no_narrow_bounds,1,test,815873889,4811699960,896636617,0,776681366,,7990,1039,14,,2058701442,6969572,0.549917263
histogram,gcc,mpx_no_narrow_bounds,1,test,243969557,1616190516,39589125,0,107895981,,7283,1754,31,,686348052,82845,0.181439152
word_count,gcc,mpx_no_narrow_bounds,1,test,1634758644,5465057486,601083628,0,1384693045,,218219,3662,8644,,5035901144,19110995,1.330252673
kmeans,gcc,mpx_no_narrow_bounds,1,test,2309955,8657131,1524793,0,0,,727,165,0,,6031581,43591,0.002065156
matrix_multiply,gcc,mpx_no_narrow_bounds,1,test,2790076,10140372,1832337,0,0,,1511,162,0,,708245,42981,0.002442632
pca,gcc,mpx_no_narrow_bounds,1,test,2347612,8654776,1496533,0,0,,0,163,0,,6246425,42713,0.001933155
linear_regression,gcc,mpx_no_narrow_bounds,1,test,173297566,1020047788,31258560,0,1764580,,5641,1037,46,,561713833,63236,0.148930575
string_match,gcc,mpx_only_write,1,test,672776119,4205834400,898478483,0,779793812,,9756,1039,50,,1673818048,7434106,0.444019842
histogram,gcc,mpx_only_write,1,test,241903818,908725060,37391599,0,108046311,,8996,1754,66,,311760524,61087,0.08378948
word_count,gcc,mpx_only_write,1,test,1586150356,5347706585,612300491,0,1386141375,,241700,3661,9276,,4955978194,19113080,1.309335275
kmeans,gcc,mpx_only_write,1,test,2270156,8471607,1537776,0,0,,0,165,0,,6022383,44316,0.001872918
matrix_multiply,gcc,mpx_only_write,1,test,2758544,10026464,1831434,0,0,,570,162,0,,3865620,43292,0.002351849
pca,gcc,mpx_only_write,1,test,2232341,8335709,1488290,0,0,,0,163,0,,6035222,41435,0.002037554
linear_regression,gcc,mpx_only_write,1,test,12828463,428830200,6395747,0,2469313,,4333,1037,67,,230546688,78658,0.061534993
string_match,gcc,mpx,1,test,814700494,4812492161,894033195,0,785506929,,7608,1038,36,,2072762294,6966505,0.547649239
histogram,gcc,mpx,1,test,243355623,1616706957,40489858,0,107767131,,7493,1754,31,,686934575,84137,0.181680965
word_count,gcc,mpx,1,test,1632594724,5478500894,600537957,0,1386346426,,213504,3661,9065,,5045916396,19324760,1.330781016
kmeans,gcc,mpx,1,test,2304545,8635769,1521180,0,0,,0,164,0,,6189177,44792,0.001969062
matrix_multiply,gcc,mpx,1,test,2789227,10138354,1831657,0,0,,745,161,0,,4718299,44042,0.002433138
pca,gcc,mpx,1,test,2345816,8648166,1495020,0,0,,0,163,0,,6252684,43639,0.002007036
linear_regression,gcc,mpx,1,test,174010565,1021632844,31461629,0,1780300,,5521,1037,53,,562122645,60515,0.150302198
string_match,gcc,mpx_first_field,1,test,816940775,4803494439,894574632,0,782712352,,7863,1039,22,,2061964805,6969335,0.547263634
histogram,gcc,mpx_first_field,1,test,247279427,1616281564,38366966,0,107887031,,7028,1754,42,,686310308,80115,0.181857246
word_count,gcc,mpx_first_field,1,test,1638529799,5417570494,597778357,0,1377889163,,217716,3661,7927,,5025386639,19356826,1.330708228
kmeans,gcc,mpx_first_field,1,test,2308625,8651817,1524093,0,0,,210,165,0,,3405463,43902,0.001980275
matrix_multiply,gcc,mpx_first_field,1,test,2791969,10149831,1833594,0,0,,0,162,0,,7704098,43841,0.002362614
pca,gcc,mpx_first_field,1,test,2344492,8641168,1494353,0,0,,0,163,0,,6209429,43374,0.001935257
linear_regression,gcc,mpx_first_field,1,test,172979420,1019297016,31190583,0,1768041,,5747,1037,81,,562057904,63304,0.14890191
string_match,icc,native,1,test,211511419,2490439286,496633628,0,810049383,,8057,1026,6,,1203798112,6579582,0.327762424
histogram,icc,native,1,test,204593260,363243136,36443880,0,108033998,,7547,1743,50,,194258479,44889,0.051920932
word_count,icc,native,1,test,946501542,2568102178,263134622,0,564411834,,137684,3288,7074,,2124633025,14929668,0.564266073
kmeans,icc,native,1,test,1825562,7143623,1301270,0,0,,813,152,0,,4346719,30601,0.001649991
matrix_multiply,icc,native,1,test,2436713,8976934,1642878,0,0,,479,152,0,,5492449,32854,0.002015734
pca,icc,native,1,test,1804866,7031623,1262690,0,0,,0,151,0,,5034027,32456,0.001590121
linear_regression,icc,native,1,test,61590810,532961864,31786058,0,689679,,5352,1027,24,,129958988,43415,0.043860098
string_match,icc,mpx_no_narrow_bounds_only_write,1,test,1130535936,5128970063,1183707047,0,663066473,,10014,1049,26,,1686391462,7361027,0.445089362
histogram,icc,mpx_no_narrow_bounds_only_write,1,test,212309521,752083795,40018283,0,104810542,,8260,1765,31,,245878309,62932,0.073068025
word_count,icc,mpx_no_narrow_bounds_only_write,1,test,3479494638,9213256786,783580863,0,2176513090,,253926,4082,11411,,8255177846,13819608,2.182922554
kmeans,icc,mpx_no_narrow_bounds_only_write,1,test,2104701,8117192,1492767,0,0,,0,177,0,,6809209,39096,0.002134481
matrix_multiply,icc,mpx_no_narrow_bounds_only_write,1,test,2691816,9863600,1816856,0,0,,0,173,0,,7517550,39209,0.002355206
pca,icc,mpx_no_narrow_bounds_only_write,1,test,2066468,7927533,1437866,0,0,,0,173,0,,6135913,37196,0.00191801
linear_regression,icc,mpx_no_narrow_bounds_only_write,1,test,61857331,522473587,31055283,0,2073684,,5301,1050,11,,128678400,56881,0.044075285
string_match,icc,mpx_no_narrow_bounds,1,test,1347057338,7297851265,1996613099,0,871455592,,8821,1049,30,,2976504750,10004657,0.787859978
histogram,icc,mpx_no_narrow_bounds,1,test,212948630,648155363,38715101,0,107954879,,7885,1765,75,,307514467,55773,0.081989047
word_count,icc,mpx_no_narrow_bounds,1,test,3775617054,10809417108,989664693,0,2411556436,,254503,4083,11272,,8767564833,13457033,2.321873049
kmeans,icc,mpx_no_narrow_bounds,1,test,2117068,8208495,1494988,0,0,,0,178,0,,6720289,39147,0.002083092
matrix_multiply,icc,mpx_no_narrow_bounds,1,test,2693722,9880801,1817473,0,0,,0,172,0,,7553787,39446,0.002351027
pca,icc,mpx_no_narrow_bounds,1,test,2073002,7969226,1440141,0,0,,870,173,0,,1345935,38101,0.001951974
linear_regression,icc,mpx_no_narrow_bounds,1,test,60206810,641308288,31793881,0,1762954,,5683,1050,55,,187614177,51789,0.050862052
string_match,icc,mpx_only_write,1,test,1124184148,5141716373,1196359451,0,677222220,,8302,1049,28,,1683727416,7413440,0.446902125
histogram,icc,mpx_only_write,1,test,211714988,766298690,39900727,0,107520658,,8046,1765,45,,250754878,60880,0.073429233
word_count,icc,mpx_only_write,1,test,3484046397,9219875072,784280127,0,2194867623,,255556,4081,11371,,8249820057,14217243,2.179620264
kmeans,icc,mpx_only_write,1,test,2103808,8112195,1492257,0,0,,0,177,0,,6703431,39910,0.002169295
matrix_multiply,icc,mpx_only_write,1,test,2692041,9862572,1817022,0,0,,1091,172,0,,6673483,39560,0.0023741
pca,icc,mpx_only_write,1,test,2062640,7909170,1435379,0,0,,0,173,0,,6112643,37879,0.001880541
linear_regression,icc,mpx_only_write,1,test,61613424,534373394,32003872,0,694453,,5437,1050,19,,130191653,57037,0.043148096
string_match,icc,mpx,1,test,1342181968,7308052685,1993805824,0,873163113,,8417,1048,42,,2990820069,9847299,0.789762784
histogram,icc,mpx,1,test,208147489,648478069,37593705,0,108639488,,9019,1765,78,,312186760,57166,0.083236526
word_count,icc,mpx,1,test,3769784336,10818752073,998323850,0,2413187532,,253348,4082,10340,,8734129904,13873645,2.31394053
kmeans,icc,mpx,1,test,2115644,8202954,1494153,0,0,,942,177,0,,5587783,38037,0.002171165
matrix_multiply,icc,mpx,1,test,2691492,9869574,1815962,0,0,,0,172,0,,7405167,38203,0.00227837
pca,icc,mpx,1,test,2067636,7949954,1436598,0,0,,0,173,0,,6077371,37106,0.001862813
linear_regression,icc,mpx,1,test,60954004,629972847,31187983,0,1787737,,6026,1050,67,,184764662,52580,0.049629279
